No.	Con_1	Con_2	Con_3	Con_4	Rejects
1	53.39	10.52	4.82	0	1.88
2	46.23	15.13	5.31	0	2.13
3	42.85	18.79	3.59	0	2.66
4	53.09	18.33	3.67	0	2.03
5	57.04	16.71	8.32	0	1.79
6	40.31	17.41	5.51	0	2.75
7	56.26	11.19	2.34	0	2.29
8	54.48	13.21	1.90	0	2.36
9	48.36	16.90	9.09	0	1.94
10	50.78	12.04	6.82	0	1.80
11	47.45	11.10	3.62	0	2.25
12	51.08	10.00	5.17	0	1.89
13	53.66	11.91	1.91	0	2.36
14	46.00	15.85	2.46	0	2.56
15	47.61	18.99	6.47	0	1.96
16	46.76	17.72	2.30	0	2.54
17	49.71	11.41	9.58	0	1.91
18	41.22	15.94	0.05	0	3.66
19	48.14	18.51	4.51	0	2.09
20	51.13	15.12	5.88	0	1.83
21	41.38	17.49	6.49	0	2.55
22	47.15	17.77	4.42	0	2.16
23	43.79	17.64	4.18	0	2.48
24	59.17	16.99	0.65	0	2.81
25	56.04	15.38	9.13	0	1.81
26	58.60	15.61	0.28	0	2.88
27	45.67	18.51	5.25	0	2.18
28	49.86	13.56	7.38	0	1.82
29	54.32	17.61	2.43	0	2.25
30	44.29	19.19	1.81	0	2.85
31	48.25	10.60	6.83	0	1.91
32	41.43	17.42	6.85	0	2.53
33	50.77	18.18	3.34	0	2.13
34	53.54	15.91	0.78	0	2.64
35	44.96	15.77	7.02	0	2.15
36	45.74	17.49	7.01	0	2.08
37	50.63	10.93	1.81	0	2.44
38	52.53	10.31	4.30	0	1.95
39	53.95	11.53	4.96	0	1.86
40	44.80	17.00	6.93	0	2.16
41	59.94	12.81	5.71	0	1.98
42	49.66	15.42	3.05	0	2.23
43	48.18	10.33	6.28	0	1.93
44	41.96	16.28	7.43	0	2.46
45	46.79	16.60	1.22	0	2.78
46	43.55	15.69	5.12	0	2.39
47	58.87	12.57	5.62	0	1.92
48	42.35	19.48	1.28	0	3.19
49	44.38	11.35	1.46	0	2.93
50	42.11	12.85	1.99	0	3.05
51	45.47	19.99	6.33	0	2.13
52	57.04	14.00	6.14	0	1.82
53	52.87	10.73	5.70	0	1.81
54	44.67	16.76	0.72	0	3.09
55	47.75	13.13	3.50	0	2.25
56	51.61	17.97	7.82	0	1.77
57	56.76	19.17	4.33	0	1.97
58	47.10	18.56	1.04	0	2.81
59	59.61	10.45	6.38	0	1.92
60	48.73	17.23	1.48	0	2.60
61	53.80	18.26	2.98	0	2.14
62	54.74	16.13	7.94	0	1.74
63	59.35	12.47	7.89	0	1.88
64	41.09	17.42	2.33	0	3.10
65	45.53	14.14	4.82	0	2.24
66	45.06	11.91	2.51	0	2.63
67	42.94	14.71	1.54	0	3.06
68	44.26	15.93	6.45	0	2.23
69	56.04	13.17	2.02	0	2.36
70	57.98	12.31	3.59	0	2.12
71	46.92	18.41	4.13	0	2.21
72	56.35	13.33	1.68	0	2.44
73	49.89	10.32	2.47	0	2.33
74	55.05	17.92	2.40	0	2.26
75	45.67	18.70	4.30	0	2.29
76	40.60	19.79	3.29	0	2.99
77	43.29	17.12	8.84	0	2.34
78	49.29	11.00	2.94	0	2.26
79	52.66	13.16	1.10	0	2.56
80	42.23	15.44	5.01	0	2.55
81	55.26	19.19	3.52	0	2.06
82	58.82	19.73	7.82	0	1.85
83	50.38	17.98	9.96	0	1.92
84	53.02	15.92	8.25	0	1.75
85	51.71	14.99	8.10	0	1.77
86	43.56	13.98	0.74	0	3.19
87	42.63	15.55	1.89	0	3.01
88	43.57	17.13	2.33	0	2.81
89	58.34	10.91	4.07	0	2.06
90	47.90	17.49	3.32	0	2.27
91	45.60	19.30	2.42	0	2.60
92	45.50	14.36	1.98	0	2.70
93	45.37	14.60	8.60	0	2.13
94	59.10	10.92	5.87	0	1.92
95	50.44	12.88	4.34	0	2.00
96	46.47	15.29	7.54	0	2.02
97	52.56	18.65	8.03	0	1.75
98	57.00	14.42	6.61	0	1.80
99	49.73	13.42	8.75	0	1.86
100	49.36	16.24	8.93	0	1.88
101	41.85	13.31	1.14	0	3.28
102	46.94	18.22	1.80	0	2.63
103	57.33	19.18	8.31	0	1.80
104	52.82	14.20	3.82	0	2.01
105	43.19	14.94	9.84	0	2.43
106	46.47	10.56	0.25	0	3.07
107	44.13	10.99	8.18	0	2.23
108	53.62	12.25	8.10	0	1.74
109	58.55	11.04	2.10	0	2.42
110	46.98	10.71	2.90	0	2.40
111	46.02	13.23	4.87	0	2.19
112	54.75	13.38	0.72	0	2.66
113	41.39	14.95	0.94	0	3.39
114	55.67	11.18	2.70	0	2.21
115	55.49	15.38	1.86	0	2.38
116	46.15	14.12	2.98	0	2.45
117	44.16	19.54	0.90	0	3.09
118	41.32	16.18	9.69	0	2.64
119	49.68	19.22	8.50	0	1.85
120	51.09	10.42	5.61	0	1.85
121	59.36	13.41	1.44	0	2.61
122	51.72	10.94	4.80	0	1.91
123	50.99	19.25	9.01	0	1.83
124	56.93	15.75	4.98	0	1.91
125	41.59	10.05	9.56	0	2.59
126	45.43	10.28	0.17	0	3.18
127	46.82	17.51	0.96	0	2.85
128	47.25	16.38	9.21	0	2.02
129	55.78	16.48	8.73	0	1.78
130	57.29	12.44	5.44	0	1.87
131	57.91	12.46	1.33	0	2.57
132	55.91	10.29	5.02	0	1.88
133	51.54	15.24	9.56	0	1.85
134	54.91	14.26	4.23	0	1.95
135	44.67	12.65	3.38	0	2.51
136	49.43	17.52	1.31	0	2.61
137	52.92	12.09	7.86	0	1.74
138	52.23	13.80	9.66	0	1.84
139	53.14	19.33	4.07	0	1.97
140	51.78	19.20	1.83	0	2.40
141	56.53	15.96	3.97	0	2.02
142	40.35	13.71	0.23	0	3.72
143	58.41	15.47	9.32	0	1.90
144	49.50	15.06	9.07	0	1.89
145	43.96	14.44	6.93	0	2.25
146	44.46	16.13	8.01	0	2.19
147	46.74	10.66	4.23	0	2.21
148	42.95	17.80	4.66	1	1.80
149	59.01	14.18	4.15	1	2.57
150	52.58	19.84	6.90	1	2.22
151	48.01	17.66	8.74	1	2.38
152	52.64	19.48	2.81	1	1.92
153	52.25	18.91	8.29	1	2.46
154	56.18	18.27	9.15	1	2.97
155	41.31	14.47	8.43	1	2.40
156	56.56	18.99	6.24	1	2.47
157	44.77	13.20	7.18	1	2.06
158	50.48	10.98	2.12	1	1.82
159	55.72	10.15	6.47	1	2.41
160	42.48	15.52	7.09	1	2.10
161	52.44	16.73	9.98	1	2.88
162	52.17	11.22	1.80	1	1.92
163	49.45	10.60	9.61	1	2.63
164	52.40	13.81	8.31	1	2.47
165	40.04	17.32	4.04	1	1.90
166	41.67	14.14	2.58	1	1.80
167	55.13	10.18	1.36	1	2.17
168	49.55	14.28	4.15	1	1.79
169	52.87	18.10	7.15	1	2.28
170	43.61	17.96	9.94	1	2.69
171	58.03	17.06	8.49	1	3.03
172	58.52	10.81	0.29	1	2.63
173	44.85	10.29	2.91	1	1.71
174	55.45	13.06	4.90	1	2.22
175	43.94	14.91	4.85	1	1.79
176	41.39	18.24	0.54	1	1.93
177	44.93	13.21	5.66	1	1.85
178	56.47	13.92	4.62	1	2.30
179	48.08	10.67	4.27	1	1.75
180	41.64	12.71	0.72	1	1.90
181	43.28	10.55	9.53	1	2.59
182	52.44	19.99	1.16	1	1.97
183	51.47	12.17	0.80	1	1.95
184	47.18	12.36	8.65	1	2.35
185	49.83	12.79	6.96	1	2.09
186	50.06	12.06	5.90	1	1.95
187	40.20	12.75	0.77	1	1.97
188	40.36	11.06	9.17	1	2.62
189	47.64	18.57	0.14	1	1.88
190	44.38	13.44	7.38	1	2.10
191	44.42	17.47	8.91	1	2.41
192	42.26	14.76	4.60	1	1.82
193	49.32	16.48	7.81	1	2.22
194	58.74	19.07	2.17	1	2.53
195	44.94	15.49	2.41	1	1.71
196	44.77	12.64	7.63	1	2.14
197	41.86	15.15	9.88	1	2.73
198	40.26	10.77	3.48	1	1.87
199	54.67	13.12	7.78	1	2.53
200	41.82	12.04	9.66	1	2.67
201	46.50	14.66	6.92	1	2.01
202	52.31	11.80	9.83	1	2.83
203	45.14	15.71	3.45	1	1.71
204	57.52	14.69	3.56	1	2.37
205	53.88	12.24	8.30	1	2.57
206	55.79	17.87	7.25	1	2.54
207	55.21	11.15	8.35	1	2.70
208	41.25	17.94	1.13	1	1.88
209	48.62	13.67	9.36	1	2.54
210	51.39	12.49	0.37	1	1.98
211	46.90	17.35	6.71	1	1.98
212	50.25	16.26	5.91	1	1.96
213	51.63	19.76	5.52	1	1.98
214	45.60	12.30	9.02	1	2.42
215	51.58	19.70	3.03	1	1.86
216	42.25	15.25	4.95	1	1.85
217	59.21	16.64	2.19	1	2.59
218	56.29	14.35	8.69	1	2.88
219	51.98	17.77	8.38	1	2.46
220	45.89	12.99	0.96	1	1.78
221	46.34	19.72	4.20	1	1.73
222	44.17	13.84	8.76	1	2.38
223	59.59	16.41	1.07	1	2.70
224	47.73	14.93	1.66	1	1.75
225	51.74	15.83	0.59	1	1.98
226	49.78	11.97	9.89	1	2.72
227	44.15	11.69	1.99	1	1.74
228	43.62	19.61	6.50	1	1.97
229	40.70	11.36	4.05	1	1.86
230	40.16	16.86	0.61	1	1.98
231	42.45	19.58	2.09	1	1.78
232	40.03	10.88	0.43	1	2.01
233	53.20	16.85	3.84	1	1.97
234	52.07	13.33	7.37	1	2.27
235	58.71	12.34	3.67	1	2.52
236	53.68	19.42	0.05	1	2.17
237	49.52	17.42	7.32	1	2.14
238	55.68	18.81	6.53	1	2.42
239	58.28	14.10	0.19	1	2.61
240	50.96	17.94	7.41	1	2.21
241	52.49	14.73	4.81	1	1.98
242	51.80	15.48	2.44	1	1.87
243	56.40	11.24	2.54	1	2.24
244	56.78	11.72	0.94	1	2.37
245	47.58	10.37	5.62	1	1.85
246	43.14	13.44	4.24	1	1.77
247	55.09	13.25	3.75	1	2.12
248	42.20	18.76	4.95	1	1.85
249	58.89	15.11	6.34	1	2.75
250	51.25	13.11	8.21	1	2.38
251	57.09	12.33	3.54	1	2.32
252	49.39	16.82	3.18	1	1.76
253	43.51	13.81	4.16	1	1.76
254	52.01	15.30	1.23	1	1.94
255	54.78	16.44	8.30	1	2.65
256	47.68	14.44	0.93	1	1.80
257	45.28	15.80	4.48	1	1.75
258	42.08	17.02	3.64	1	1.79
259	57.27	18.17	9.18	1	3.10
260	45.61	15.48	5.67	1	1.84
261	41.71	17.41	9.68	1	2.68
262	59.69	15.45	5.08	1	2.72
263	49.98	12.49	2.95	1	1.78
264	59.74	18.28	2.61	1	2.65
265	56.39	13.15	9.28	1	3.03
266	54.02	19.18	3.33	1	2.02
267	55.87	18.46	1.70	1	2.22
268	42.33	18.92	2.17	1	1.78
269	48.16	16.50	7.54	1	2.14
270	41.13	10.17	5.57	1	1.95
271	42.38	15.08	0.65	1	1.88
272	44.58	17.70	1.40	1	1.76
273	55.32	11.39	0.21	1	2.29
274	47.25	17.74	9.46	1	2.54
275	40.08	19.76	1.90	1	1.90
276	59.45	18.72	3.23	1	2.61
